ID	Name	Team	Position	Age	nhlId	BirthDate
46	Adam Raska	San Jose Sharks	Forward	19	8482197	2001-09-25
47	Adam Ruzicka	Calgary Flames	Forward	22	8480008	1999-05-11
48	Adam Smith	N/A	Defenseman	24	8479603	1996-11-06
49	Adam Tambellini	N/A	Forward	26	8477487	1994-11-01
50	Adam Werner	Calgary Flames	Goalie	24	8479530	1997-05-02
51	Adam Wilcox	N/A	Goalie	28	8476330	1992-11-26
52	Adam Wilsby	Nashville Predators	Defenseman	21	8482482	2000-08-07
53	Adin Hill	San Jose Sharks	Goalie	25	8478499	1996-05-11
54	Adrian Aucoin	N/A	Defenseman	48	8459053	1973-07-03
55	Adrian Kempe	Los Angeles Kings	Forward	25	8477960	1996-09-13
56	Aidan Dudas	Los Angeles Kings	Forward	21	8480850	2000-06-15
57	Aidan Hreschuk	Carolina Hurricanes	Defenseman	18	8482680	2003-02-19
58	Aidan McDonough	Vancouver Canucks	Forward	21	8481683	1999-11-06
59	Aidan Muir	N/A	Forward	26	8477439	1995-08-21
60	Akil Thomas	Los Angeles Kings	Forward	21	8480851	2000-01-02
61	Akim Aliu	N/A	Forward	32	8474049	1989-04-24
62	Akira Schmid	New Jersey Devils	Goalie	21	8481033	2000-05-12
63	Aku Koskenvuo	Vancouver Canucks	Goalie	18	8482875	2003-02-26
64	Aku Raty	Arizona Coyotes	Forward	20	8481699	2001-07-05
65	Al Montoya	N/A	Goalie	36	8471219	1985-02-13
66	Alan Quine	N/A	Forward	28	8476409	1993-02-25
67	Albert Johansson	Detroit Red Wings	Defenseman	20	8481607	2001-01-04
68	Albert Lyckasen	Buffalo Sabres	Defenseman	20	8482503	2001-07-29
69	Albert Sjoberg	Dallas Stars	Forward	18	8482910	2003-03-19
70	Albin Eriksson	Dallas Stars	Forward	21	8481017	2000-07-20
71	Albin Grewe	Detroit Red Wings	Forward	20	8481602	2001-03-22
72	Albin Sundsvik	Anaheim Ducks	Forward	20	8482494	2001-04-27
73	Alec Dillon	N/A	Goalie	25	8478079	1996-05-05
74	Alec Martinez	Vegas Golden Knights	Defenseman	34	8474166	1987-07-26
75	Alec Regula	Chicago Blackhawks	Defenseman	21	8480831	2000-08-06
76	Aleksander Barkov	Florida Panthers	Forward	26	8477493	1995-09-02
77	Aleksandr Kisakov	Buffalo Sabres	Forward	18	8482697	2002-11-01
78	Aleksei Kolosov	Philadelphia Flyers	Goalie	19	8482783	2002-01-04
79	Aleksi Heimosalmi	Carolina Hurricanes	Defenseman	18	8482860	2003-05-08
80	Aleksi Heponiemi	Florida Panthers	Forward	22	8480037	1999-01-09
81	Aleksi Makela	N/A	Defenseman	26	8477322	1995-02-08
82	Aleksi Malinen	New York Islanders	Defenseman	18	8482756	2003-05-26
83	Aleksi Saarela	Florida Panthers	Forward	24	8478839	1997-01-07
84	Ales Hemsky	N/A	Forward	38	8469466	1983-08-13
85	Ales Stezka	N/A	Goalie	24	8478848	1997-01-06
86	Alex Auld	N/A	Goalie	40	8467913	1981-01-07
87	Alex Barre-Boulet	Tampa Bay Lightning	Forward	24	8479718	1997-05-21
88	Alex Beaucage	Colorado Avalanche	Forward	20	8481595	2001-07-25
89	Alex Belzile	Montréal Canadiens	Forward	30	8475968	1991-08-31
90	Alex Biega	Toronto Maple Leafs	Defenseman	33	8473415	1988-04-04
91	Alex Broadhurst	N/A	Forward	28	8476283	1993-03-07
92	Alex Chiasson	N/A	Forward	30	8475163	1990-10-01
93	Alex Cotton	Detroit Red Wings	Defenseman	20	8482182	2001-05-12
94	Alex DeBrincat	Chicago Blackhawks	Forward	23	8479337	1997-12-18
95	Alex Dostie	N/A	Forward	24	8479524	1997-04-13
96	Alex Formenton	Ottawa Senators	Forward	22	8480029	1999-09-13
97	Alex Friesen	N/A	Forward	30	8475836	1991-01-30
98	Alex Gagne	Tampa Bay Lightning	Defenseman	19	8482942	2002-08-12
99	Alex Galchenyuk	N/A	Forward	27	8476851	1994-02-12
100	Alex Goligoski	Minnesota Wild	Defenseman	36	8471274	1985-07-30
101	Alex Grant	N/A	Defenseman	32	8474005	1989-01-20
102	Alex Iafallo	Los Angeles Kings	Forward	27	8480113	1993-12-21
103	Alex Jefferies	New York Islanders	Forward	19	8482154	2001-11-08
104	Alex Kannok-Leipert	N/A	Defenseman	21	8480998	2000-07-20
105	Alex Khokhlachev	N/A	Forward	28	8476435	1993-09-09
106	Alex Killorn	Tampa Bay Lightning	Forward	32	8473986	1989-09-14
107	Alex Kovalev	N/A	Forward	48	8458529	1973-02-24
108	Alex Laferriere	Los Angeles Kings	Forward	19	8482155	2001-10-28
109	Alex Lintuniemi	N/A	Defenseman	25	8477991	1995-09-23
110	Alex Lyon	Carolina Hurricanes	Goalie	28	8479312	1992-12-09
111	Alex Nedeljkovic	Detroit Red Wings	Goalie	25	8477968	1996-01-07
112	Alex Newhook	Colorado Avalanche	Forward	20	8481618	2001-01-28
113	Alex Nylander	Chicago Blackhawks	Forward	23	8479423	1998-03-02
114	Alex Ovechkin	Washington Capitals	Forward	36	8471214	1985-09-17
115	Alex Pietrangelo	Vegas Golden Knights	Defenseman	31	8474565	1990-01-18
116	Alex Plante	N/A	Defenseman	32	8474046	1989-05-09
117	Alex Schoenborn	N/A	Forward	25	8478003	1995-12-12
118	Alex Stalock	Edmonton Oilers	Goalie	34	8471774	1987-07-28
119	Alex Tanguay	N/A	Forward	41	8467338	1979-11-21
120	Alex Tuch	Vegas Golden Knights	Forward	25	8477949	1996-05-10
121	Alex Turcotte	Los Angeles Kings	Forward	20	8481532	2001-02-26
122	Alex Vlasic	Chicago Blackhawks	Defenseman	20	8481568	2001-06-05
123	Alex Wennberg	Seattle Kraken	Forward	26	8477505	1994-09-22
124	Alex Young	San Jose Sharks	Forward	20	8482523	2001-03-22
125	Alexandar Georgiev	New York Rangers	Goalie	25	8480382	1996-02-10
126	Alexander Alexeyev	Washington Capitals	Defenseman	21	8480823	1999-11-15
127	Alexander Barabanov	San Jose Sharks	Forward	27	8482222	1994-06-17
128	Alexander Burmistrov	Vancouver Canucks	Forward	29	8475788	1991-10-21
129	Alexander Campbell	Nashville Predators	Forward	20	8481619	2001-02-27
130	Alexander Chmelevski	San Jose Sharks	Forward	22	8480053	1999-06-09
131	Alexander Delnov	Florida Panthers	Forward	27	8476964	1994-01-14
132	Alexander Dergachyov	Los Angeles Kings	Forward	24	8478494	1996-09-27
133	Alexander Edler	Los Angeles Kings	Defenseman	35	8471303	1986-04-21
134	Alexander Gordin	Montréal Canadiens	Forward	20	8482497	2001-07-31
135	Alexander Green	Tampa Bay Lightning	Defenseman	23	8481063	1998-06-18
136	Alexander Holtz	New Jersey Devils	Forward	19	8482125	2002-01-23
137	Alexander Kadeykin	Detroit Red Wings	Forward	27	8478127	1993-10-04
138	Alexander Kerfoot	Toronto Maple Leafs	Forward	27	8477021	1994-08-11
139	Alexander Khovanov	Minnesota Wild	Forward	21	8480824	2000-04-12
140	Alexander Ljungkrantz	New York Islanders	Forward	19	8482480	2002-02-27
141	Alexander Nikishin	Carolina Hurricanes	Defenseman	19	8482100	2001-10-02
142	Alexander Pashin	Carolina Hurricanes	Forward	19	8482212	2002-07-28
143	Alexander Peters	N/A	Defenseman	25	8478006	1996-07-02
144	Alexander Petrovic	Dallas Stars	Defenseman	29	8475755	1992-03-03
145	Alexander Radulov	Dallas Stars	Forward	35	8471228	1986-07-05
146	Alexander Romanov	Montréal Canadiens	Defenseman	21	8481014	2000-01-06
147	Alexander Semin	N/A	Forward	37	8470120	1984-03-03
148	Alexander Steen	N/A	Forward	37	8470257	1984-03-01
149	Alexander Sulzer	N/A	Defenseman	37	8470685	1984-05-30
150	Alexander True	Seattle Kraken	Forward	24	8480384	1997-07-17
151	Alexander Urbom	N/A	Defenseman	30	8475248	1990-12-20
152	Alexander Volkov	Anaheim Ducks	Forward	24	8480186	1997-08-02
153	Alexander Yelesin	Calgary Flames	Defenseman	25	8481630	1996-02-07
154	Alexandr Darin	Arizona Coyotes	Forward	21	8481713	2000-08-16
155	Alexandre Belanger	N/A	Goalie	26	8477339	1995-08-19
156	Alexandre Bolduc	N/A	Forward	36	8470719	1985-06-26
157	Alexandre Burrows	N/A	Forward	40	8470358	1981-04-11
158	Alexandre Carrier	Nashville Predators	Defenseman	24	8478851	1996-10-08
159	Alexandre Fortin	N/A	Forward	24	8479657	1997-02-25
160	Alexandre Giroux	N/A	Forward	40	8468086	1981-06-16
161	Alexandre Grenier	N/A	Forward	30	8476414	1991-09-05
162	Alexandre Mallet	N/A	Forward	29	8475978	1992-05-22
163	Alexandre Picard	N/A	Defenseman	36	8470678	1985-07-05
164	Alexandre Texier	Columbus Blue Jackets	Forward	22	8480074	1999-09-13
165	Alexei Emelin	N/A	Defenseman	35	8471296	1986-04-25
166	Alexei Lipanov	Tampa Bay Lightning	Forward	22	8480047	1999-08-17
167	Alexei Melnichuk	San Jose Sharks	Goalie	23	8482246	1998-06-29
168	Alexei Ponikarovsky	N/A	Forward	41	8467412	1980-04-09
169	Alexei Toropchenko	St. Louis Blues	Forward	22	8480281	1999-06-25
170	Alexey Marchenko	N/A	Defenseman	29	8476289	1992-01-02
171	Alexis Gravel	Montréal Canadiens	Goalie	21	8480868	2000-03-21
172	Alexis Lafrenière	New York Rangers	Forward	19	8482109	2001-10-11
173	Alexis Pepin	N/A	Forward	25	8478044	1996-04-24
174	Alexis Vanier	N/A	Defenseman	25	8478032	1995-12-21
175	Alfons Malmstrom	N/A	Defenseman	23	8479521	1998-06-12
176	Aliaksei Protas	Washington Capitals	Forward	20	8481656	2001-01-06
177	Allan McShane	N/A	Forward	21	8480854	2000-02-14
178	Allen York	N/A	Goalie	32	8474057	1989-06-17
179	Amir Miftakhov	Tampa Bay Lightning	Goalie	21	8482501	2000-04-26
180	Anatoli Golyshev	New York Islanders	Forward	26	8479583	1995-02-14
181	Anders Bjork	Buffalo Sabres	Forward	25	8478075	1996-08-05
182	Anders Lee	New York Islanders	Forward	31	8475314	1990-07-03
183	Anders Lindback	N/A	Goalie	33	8474765	1988-05-03
184	Anders Nilsson	N/A	Goalie	31	8475195	1990-03-19
185	Andong Song	New York Islanders	Defenseman	24	8478893	1997-01-31
186	Andre Benoit	N/A	Defenseman	37	8470378	1984-01-06
187	Andre Burakovsky	Colorado Avalanche	Forward	26	8477444	1995-02-09
188	Andre Deveaux	N/A	Forward	37	8470301	1984-02-23
189	Andre Gasseau	Boston Bruins	Forward	18	8482776	2003-07-03
190	Andre Lee	Los Angeles Kings	Forward	21	8481732	2000-07-26
191	Andre Petersson	N/A	Forward	31	8474670	1990-09-11
192	Andreas Athanasiou	Los Angeles Kings	Forward	27	8476960	1994-08-06
193	Andreas Borgman	Dallas Stars	Defenseman	26	8480158	1995-06-18
194	Andreas Englund	N/A	Defenseman	25	8477971	1996-01-21
195	Andreas Engqvist	N/A	Forward	33	8475372	1987-12-23
196	Andreas Johnsson	New Jersey Devils	Forward	26	8477341	1994-11-21
197	Andreas Lilja	N/A	Defenseman	46	8468534	1975-07-13
198	Andreas Martinsen	N/A	Forward	31	8478561	1990-06-13
199	Andreas Nodl	N/A	Forward	34	8473568	1987-02-28
200	Andreas Soderberg	N/A	Defenseman	25	8478077	1996-06-16
201	Andrei Altybarmakian	Chicago Blackhawks	Forward	23	8480190	1998-08-04
202	Andrei Buyalsky	Colorado Avalanche	Forward	21	8482779	2000-08-18
203	Andrei Chibisov	N/A	Forward	28	8481642	1993-02-26
204	Andrei Kostitsyn	N/A	Forward	36	8470603	1985-02-03
205	Andrei Loktionov	N/A	Forward	31	8474681	1990-05-30
206	Andrei Markov	N/A	Defenseman	42	8467496	1978-12-20
207	Andrei Mironov	N/A	Defenseman	27	8478842	1994-07-29
208	Andrei Svechnikov	Carolina Hurricanes	Forward	21	8480830	2000-03-26
209	Andrei Svetlakov	Minnesota Wild	Forward	25	8480251	1996-04-06
210	Andrei Vasilevskiy	Tampa Bay Lightning	Goalie	27	8476883	1994-07-25
211	Andrej Meszaros	N/A	Defenseman	35	8471236	1985-10-13
212	Andrej Nestrasil	N/A	Forward	30	8475250	1991-02-22
213	Andrej Sekera	Dallas Stars	Defenseman	35	8471284	1986-06-08
214	Andrej Sustr	Tampa Bay Lightning	Defenseman	30	8477205	1990-11-29
215	Andrew Agozzino	Ottawa Senators	Forward	30	8475461	1991-01-03
216	Andrew Alberts	N/A	Defenseman	40	8469626	1981-06-30
217	Andrew Bodnarchuk	N/A	Defenseman	33	8473550	1988-07-11
218	Andrew Brunette	N/A	Forward	48	8459596	1973-08-24
219	Andrew Campbell	N/A	Defenseman	33	8474638	1988-02-04
220	Andrew Cogliano	San Jose Sharks	Forward	34	8471699	1987-06-14
221	Andrew Copp	Winnipeg Jets	Forward	27	8477429	1994-07-08
222	Andrew Crescenzi	N/A	Forward	29	8476020	1992-07-29
223	Andrew Desjardins	N/A	Forward	35	8471956	1986-07-27
224	Andrew Ebbett	N/A	Forward	38	8473682	1983-01-02
225	Andrew Ference	N/A	Defenseman	42	8466333	1979-03-17
226	Andrew Gordon	N/A	Forward	35	8471409	1985-12-13
227	Andrew Hammond	Minnesota Wild	Goalie	33	8477202	1988-02-11
228	Andrew Joudrey	N/A	Forward	37	8470838	1984-07-15
229	Andrew Ladd	Arizona Coyotes	Forward	35	8471217	1985-12-12
230	Andrew MacDonald	N/A	Defenseman	35	8473584	1986-09-07
231	Andrew MacWilliam	N/A	Defenseman	31	8474748	1990-03-25
232	Andrew Mangiapane	Calgary Flames	Forward	25	8478233	1996-04-04
233	Andrew Miller	N/A	Forward	33	8477249	1988-09-18
234	Andrew Murray	N/A	Forward	39	8469685	1981-11-06
235	Andrew Nielsen	N/A	Defenseman	24	8478518	1996-11-13
236	Andrew O'Brien	N/A	Defenseman	28	8476970	1992-11-21
237	Andrew Peeke	Columbus Blue Jackets	Defenseman	23	8479369	1998-03-17
238	Andrew Poturalski	Carolina Hurricanes	Forward	27	8479249	1994-01-14
239	Andrew Raycroft	N/A	Goalie	41	8467453	1980-05-04
240	Andrew Shaw	Chicago Blackhawks	Forward	30	8476381	1991-07-20
241	Andrey Makarov	N/A	Goalie	28	8477092	1993-04-20
242	Andrey Pedan	N/A	Defenseman	28	8476388	1993-07-03
243	Andy Andreoff	N/A	Forward	30	8476404	1991-05-17
244	Andy Greene	New York Islanders	Defenseman	38	8472382	1982-10-30
245	Andy McDonald	N/A	Forward	44	8468434	1977-08-25
246	Andy Miele	N/A	Forward	33	8476206	1988-04-15
247	Andy Sutton	N/A	Defenseman	46	8467304	1975-03-10
248	Andy Welinski	Calgary Flames	Defenseman	28	8476407	1993-04-27
249	Angus Crookshank	Ottawa Senators	Forward	21	8481065	1999-10-02
250	Anthony Angello	Pittsburgh Penguins	Forward	25	8478074	1996-03-06
251	Anthony Beauvillier	New York Islanders	Forward	24	8478463	1997-06-08
252	Anthony Bitetto	New York Rangers	Defenseman	31	8475868	1990-07-15
253	Anthony Brodeur	N/A	Goalie	26	8477348	1995-06-08
254	Anthony Cirelli	Tampa Bay Lightning	Forward	24	8478519	1997-07-15
255	Anthony Duclair	Florida Panthers	Forward	26	8477407	1995-08-26
256	Anthony Florentino	N/A	Defenseman	26	8477375	1995-01-30
257	Anthony Greco	New York Rangers	Forward	27	8479447	1993-09-30
258	Anthony Louis	N/A	Forward	26	8477321	1995-02-10
259	Anthony Mantha	Washington Capitals	Forward	27	8477511	1994-09-16
260	Anthony Peluso	N/A	Forward	32	8474061	1989-04-18
261	Anthony Richard	Nashville Predators	Forward	24	8478409	1996-12-20
262	Anthony Romano	Arizona Coyotes	Forward	20	8481729	2000-10-07
263	Anthony Salinitri	N/A	Forward	23	8479552	1998-03-05
264	Anthony Stewart	N/A	Forward	36	8470618	1985-01-05
265	Anthony Stolarz	Anaheim Ducks	Goalie	27	8476932	1994-01-20
266	Antoine Bibeau	Seattle Kraken	Goalie	27	8477312	1994-05-01
267	Antoine Morand	Tampa Bay Lightning	Forward	22	8480030	1999-02-18
268	Antoine Roussel	Arizona Coyotes	Forward	31	8474849	1989-11-21
269	Antoine Vermette	N/A	Forward	39	8468535	1982-07-20
270	Anton Andersson	N/A	Defenseman	22	8480272	1999-01-06
271	Anton Babchuk	N/A	Defenseman	37	8470265	1984-05-06
272	Anton Belov	N/A	Defenseman	35	8477289	1986-07-29
273	Anton Blidh	Boston Bruins	Forward	26	8477320	1995-03-14
274	Anton Cederholm	N/A	Defenseman	26	8477377	1995-02-21
275	Anton Forsberg	Ottawa Senators	Goalie	28	8476341	1992-11-27
276	Anton Johannesson	Winnipeg Jets	Defenseman	19	8482486	2002-03-26
277	Anton Karlsson	N/A	Forward	25	8478018	1996-08-03
278	Anton Khudobin	Dallas Stars	Goalie	35	8471418	1986-05-07
279	Anton Lander	N/A	Forward	30	8475165	1991-04-24
280	Anton Lindholm	N/A	Defenseman	26	8478073	1994-11-29
281	Anton Lundell	Florida Panthers	Forward	19	8482113	2001-10-03
282	Anton Olsson	Nashville Predators	Defenseman	18	8482721	2003-01-26
283	Anton Rodin	N/A	Forward	30	8475210	1990-11-21
284	Anton Slepyshev	N/A	Forward	27	8477415	1994-05-13
285	Anton Stralman	Arizona Coyotes	Defenseman	35	8471873	1986-08-01
286	Anton Volchenkov	N/A	Defenseman	39	8468501	1982-02-25
287	Anton Wedin	N/A	Forward	28	8481637	1993-03-01
288	Anton Zlobin	N/A	Forward	28	8476997	1993-02-22
289	Antonio Stranges	Dallas Stars	Forward	19	8482120	2002-02-05
290	Antti Miettinen	N/A	Forward	41	8468704	1980-07-03
291	Antti Niemi	N/A	Goalie	38	8474550	1983-08-29
292	Antti Palojarvi	N/A	Defenseman	22	8480256	1999-01-18
293	Antti Raanta	Carolina Hurricanes	Goalie	32	8477293	1989-05-12
294	Antti Saarela	Chicago Blackhawks	Forward	20	8481588	2001-06-27
295	Antti Suomela	N/A	Forward	27	8480965	1994-03-17
296	Antti Tuomisto	Detroit Red Wings	Defenseman	20	8481587	2001-01-20
297	Anttoni Honka	Carolina Hurricanes	Defenseman	20	8481615	2000-10-05
298	Anze Kopitar	Los Angeles Kings	Forward	34	8471685	1987-08-24
299	Arnaud Durandeau	New York Islanders	Forward	22	8480242	1999-01-14
300	Arron Asham	N/A	Forward	43	8465025	1978-04-13
301	Arsen Khisamutdinov	Montréal Canadiens	Forward	23	8481672	1998-02-26
302	Arsenii Sergeev	Calgary Flames	Goalie	18	8482949	2002-12-16
303	Arseny Gritsyuk	New Jersey Devils	Forward	20	8481721	2001-03-15
304	Artem Anisimov	N/A	Forward	33	8473573	1988-05-24
305	Artem Grushnikov	Dallas Stars	Defenseman	18	8482695	2003-03-20
306	Artem Guryev	San Jose Sharks	Defenseman	18	8482934	2003-05-17
307	Artem Shlaine	New Jersey Devils	Forward	19	8482214	2002-03-07
308	Artem Zub	Ottawa Senators	Defenseman	25	8482245	1995-10-03
309	Artemi Kniazev	San Jose Sharks	Defenseman	20	8481552	2001-01-04
310	Artemi Panarin	New York Rangers	Forward	29	8478550	1991-10-30
311	Arthur Kaliyev	Los Angeles Kings	Forward	20	8481560	2001-06-26
312	Arttu Ruotsalainen	Buffalo Sabres	Forward	23	8481626	1997-10-29
313	Artturi Lehkonen	Montréal Canadiens	Forward	26	8477476	1995-07-04
314	Artur Akhtyamov	Toronto Maple Leafs	Goalie	19	8482515	2001-10-31
315	Artur Cholach	Vegas Golden Knights	Defenseman	18	8482943	2003-06-06
316	Artur Gavrus	New Jersey Devils	Forward	27	8476993	1994-01-03
317	Artur Kayumov	Chicago Blackhawks	Forward	23	8479426	1998-02-14
318	Arturs Kulda	N/A	Defenseman	33	8473459	1988-07-25
319	Arturs Silovs	Vancouver Canucks	Goalie	20	8481668	2001-03-22
320	Artyom Galimov	Anaheim Ducks	Forward	22	8482485	1999-09-08
321	Artyom Manukyan	Vancouver Canucks	Forward	23	8481045	1998-06-09
322	Artyom Zagidulin	N/A	Goalie	26	8481501	1995-08-08
323	Arvid Costmar	Vancouver Canucks	Forward	20	8481736	2001-07-07
324	Arvid Henrikson	Montréal Canadiens	Defenseman	23	8479559	1998-02-23
325	Arvid Holm	Winnipeg Jets	Goalie	22	8480244	1998-11-03
326	Ashton Sautner	N/A	Defenseman	27	8477085	1994-05-27
327	Austin Carroll	N/A	Forward	27	8477610	1994-03-26
328	Austin Czarnik	New York Islanders	Forward	28	8478512	1992-12-12
329	Austin Osmanski	N/A	Defenseman	23	8479560	1998-04-30
330	Austin Poganski	Winnipeg Jets	Forward	25	8478040	1996-02-16
331	Austin Strand	Los Angeles Kings	Defenseman	24	8480467	1997-02-17
332	Austin Wagner	Los Angeles Kings	Forward	24	8478455	1997-06-23
333	Austin Watson	Ottawa Senators	Forward	29	8475766	1992-01-13
334	Austin Wong	Winnipeg Jets	Forward	21	8481084	2000-08-26
335	Austin Wuthrich	N/A	Forward	28	8476969	1993-08-11
336	Auston Matthews	Toronto Maple Leafs	Forward	24	8479318	1997-09-17
337	Avery Peterson	N/A	Forward	26	8477308	1995-06-20
338	Axel Andersson	Anaheim Ducks	Defenseman	21	8481018	2000-02-10
339	Axel Bergkvist	Arizona Coyotes	Defenseman	21	8481686	2000-06-01
340	Axel Holmstrom	N/A	Forward	25	8478123	1996-06-29
341	Axel Jonsson-Fjallby	Washington Capitals	Forward	23	8479536	1998-02-10
342	Axel Rindell	Toronto Maple Leafs	Defenseman	21	8482463	2000-04-23
343	Ayrton Martino	Dallas Stars	Forward	18	8482690	2002-09-28
344	B.J. Crombeen	N/A	Forward	36	8470647	1985-07-10
345	Barclay Goodrow	New York Rangers	Forward	28	8476624	1993-02-26
346	Barret Jackman	N/A	Defenseman	40	8467890	1981-03-05
347	Barrett Hayton	Arizona Coyotes	Forward	21	8480849	2000-06-09
348	Bear Hughes	Washington Capitals	Forward	20	8482455	2001-05-30
349	Beau Bennett	N/A	Forward	29	8475761	1991-11-27
350	Beau Starrett	N/A	Forward	25	8478019	1995-11-01
351	Beck Malenstyn	Washington Capitals	Forward	23	8479359	1998-02-04
352	Ben Betker	N/A	Defenseman	26	8477390	1994-09-29
353	Ben Bishop	Dallas Stars	Goalie	34	8471750	1986-11-21
354	Ben Boyd	Columbus Blue Jackets	Forward	18	8482885	2003-08-23
355	Ben Chiarot	Montréal Canadiens	Defenseman	30	8475279	1991-05-09
356	Ben Eager	N/A	Forward	37	8470280	1984-01-22
357	Ben Gleason	Dallas Stars	Defenseman	23	8479416	1998-03-25
358	Ben Hanowski	N/A	Forward	30	8475196	1990-10-18
359	Ben Harpur	Nashville Predators	Defenseman	26	8477433	1995-01-12
360	Ben Holmstrom	N/A	Forward	34	8475603	1987-04-09
361	Ben Hutton	N/A	Defenseman	28	8477018	1993-04-20
362	Ben Johnson	N/A	Forward	27	8476936	1994-06-07
363	Ben Jones	Vegas Golden Knights	Forward	22	8480259	1999-02-26
364	Ben Lovejoy	N/A	Defenseman	37	8473933	1984-02-20
365	Ben Maxwell	N/A	Forward	33	8473493	1988-03-30
366	Ben McCartney	Arizona Coyotes	Forward	20	8481827	2001-07-13
367	Ben Meehan	Los Angeles Kings	Defenseman	20	8482489	2001-04-20
368	Ben Roger	Ottawa Senators	Defenseman	18	8482672	2002-11-03
369	Ben Scrivens	N/A	Goalie	35	8475681	1986-09-11
370	Ben Sexton	N/A	Forward	30	8475328	1991-06-06
371	Ben Smith	N/A	Forward	33	8474727	1988-07-11
372	Ben Storm	N/A	Forward	27	8477385	1994-03-30
373	Ben Street	N/A	Forward	34	8476043	1987-02-13
374	Ben Thomas	N/A	Defenseman	25	8478049	1996-05-28
375	Ben Thomson	N/A	Forward	28	8476526	1993-01-16
376	Benjamin Baumgartner	New Jersey Devils	Forward	21	8482495	2000-04-22
377	Benjamin Brinkman	Dallas Stars	Defenseman	20	8481755	2000-10-04
378	Benjamin Finkelstein	N/A	Defenseman	23	8479577	1997-10-01
379	Benjamin Gaudreau	San Jose Sharks	Goalie	18	8482729	2003-01-11
380	Benjamin Mirageas	New York Islanders	Defenseman	22	8480055	1999-05-08
381	Benn Ferriero	N/A	Forward	34	8473600	1987-04-29
382	Benoit Pouliot	N/A	Forward	34	8471678	1986-09-29
383	Benoit-Olivier Groulx	Anaheim Ducks	Forward	21	8480870	2000-02-06
384	Benton Maass	Washington Capitals	Defenseman	22	8480253	1998-11-25
385	Bill Arnold	N/A	Forward	29	8475833	1992-05-13
386	Bill Sweatt	N/A	Forward	32	8474035	1988-09-21
387	Bill Thomas	N/A	Forward	38	8472361	1983-06-20
388	Blade Jenkins	New York Islanders	Forward	21	8480799	2000-08-11
